date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:42	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4)
10:47:44	23424/23424	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4)
10:47:45	15200/15200	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-icons.eot?wwnnqg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-iconsc4c2.eot	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/style.css?ver=6.9.4)
10:47:45	15000/15000	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-icons.ttf?wwnnqg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-iconsc4c2.ttf	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/style.css?ver=6.9.4)
10:47:45	45404/45404	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4)
10:47:46	46320/46320	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-icons.svg?wwnnqg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-iconsc4c2.svg	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/style.css?ver=6.9.4)
10:47:46	15076/15076	---M--	200	added ('OK')	font/woff	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-icons.woff?wwnnqg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/icons/fonts/chromenews-iconsc4c2.woff	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/style.css?ver=6.9.4)
10:47:46	8709/8709	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ffdd85f527c636266f33b44c0d0b9317%22	https://tuckermccumber.com/category/announcements/feed/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/announcements/feed/index.html	(from https://tuckermccumber.com/category/announcements/)
10:47:46	658/658	---M-Z	200	added ('OK')	application/json	date:Fri,%2020%20Mar%202026%2015:47:46%20GMT	https://tuckermccumber.com/wp-json/wp/v2/categories/6	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/wp/v2/categories/6.json	(from https://tuckermccumber.com/category/announcements/)
10:47:47	99402/99402	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:47%20GMT	https://tuckermccumber.com/2023/07/04/blog-update/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/07/04/blog-update/index.html	(from https://tuckermccumber.com/category/announcements/)
10:47:47	646/646	---M-Z	200	added ('OK')	application/json	date:Fri,%2020%20Mar%202026%2015:47:47%20GMT	https://tuckermccumber.com/wp-json/wp/v2/categories/3	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/wp/v2/categories/3.json	(from https://tuckermccumber.com/category/cancer/)
10:47:48	98838/98838	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:47%20GMT	https://tuckermccumber.com/2023/07/04/welcome/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/07/04/welcome/index.html	(from https://tuckermccumber.com/category/announcements/)
10:47:49	121971/121971	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:47%20GMT	https://tuckermccumber.com/2023/07/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/07/index.html	(from https://tuckermccumber.com/category/announcements/)
10:47:49	113750/113750	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:47%20GMT	https://tuckermccumber.com/2023/08/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/08/index.html	(from https://tuckermccumber.com/category/announcements/)
10:47:49	99023/99023	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:49%20GMT	https://tuckermccumber.com/2023/09/12/surgery-is-on/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/09/12/surgery-is-on/index.html	(from https://tuckermccumber.com/category/cancer/)
10:47:49	23106/23106	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ffdd85f527c636266f33b44c0d0b9317%22	https://tuckermccumber.com/category/cancer/feed/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/cancer/feed/index.html	(from https://tuckermccumber.com/category/cancer/)
10:47:49	2208/2208	---M-Z	200	added ('OK')	application/json	date:Fri,%2020%20Mar%202026%2015:47:49%20GMT	https://tuckermccumber.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftuckermccumber.com%2Fdonate%2F	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/oembed/1.0/embedb444.json	(from https://tuckermccumber.com/donate/)
10:47:49	98144/98144	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:49%20GMT	https://tuckermccumber.com/category/cancer/page/3/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/cancer/page/3/index.html	(from https://tuckermccumber.com/category/cancer/)
10:47:49	121597/121597	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:49%20GMT	https://tuckermccumber.com/category/cancer/page/2/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/cancer/page/2/index.html	(from https://tuckermccumber.com/category/cancer/)
10:47:50	2357/2357	---M-Z	200	added ('OK')	text/xml	date:Fri,%2020%20Mar%202026%2015:47:50%20GMT	https://tuckermccumber.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftuckermccumber.com%2Fdonate%2F&format=xml	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/oembed/1.0/embedf26f	(from https://tuckermccumber.com/donate/)
10:47:50	2887/2887	---M-Z	200	added ('OK')	application/json	date:Fri,%2020%20Mar%202026%2015:47:50%20GMT	https://tuckermccumber.com/wp-json/wp/v2/pages/90	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/wp/v2/pages/90.json	(from https://tuckermccumber.com/donate/)
10:47:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Mar%202026%2015:47:50%20GMT	https://tuckermccumber.com/?p=90	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/indexeffd.html	(from https://tuckermccumber.com/donate/)
10:47:50	645/645	---M-Z	200	added ('OK')	application/json	date:Fri,%2020%20Mar%202026%2015:47:50%20GMT	https://tuckermccumber.com/wp-json/wp/v2/categories/2	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/wp/v2/categories/2.json	(from https://tuckermccumber.com/category/orlando/)
10:47:51	66791/66791	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ffdd85f527c636266f33b44c0d0b9317%22	https://tuckermccumber.com/category/orlando/feed/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/orlando/feed/index.html	(from https://tuckermccumber.com/category/orlando/)
10:47:51	169310/169310	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:22:01%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/day8a-768x1020.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/day8a-768x1020.jpg	(from https://tuckermccumber.com/category/orlando/)
10:47:51	137841/137841	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:19:11%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/day7a-768x1020.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/day7a-768x1020.jpg	(from https://tuckermccumber.com/category/orlando/)
10:47:51	97246/97246	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:16:05%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/day6a-768x1020.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/day6a-768x1020.jpg	(from https://tuckermccumber.com/category/orlando/)
10:47:51	105920/105920	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:51%20GMT	https://tuckermccumber.com/2023/07/04/orlando-day-8/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/07/04/orlando-day-8/index.html	(from https://tuckermccumber.com/category/orlando/)
10:47:51	87400/87400	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:13:19%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/day5a-768x1020.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/day5a-768x1020.jpg	(from https://tuckermccumber.com/category/orlando/)
10:47:51	183638/183638	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:09:38%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/day4a-768x1020.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/day4a-768x1020.jpg	(from https://tuckermccumber.com/category/orlando/)
